fecha,total,peaje,archivo,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,lag_30,dayofweek,day,month
2021-12-31,19851.0,LA PARADA,C:\Users\adelgado\Documents\Personal\Universidad\Estrategia y Liderazgo en Datos\final\Trafico PMU\2021\Diciembre 2021\Trafico Horario Sentido LA PARADA.xlsx,22189.0,21920.0,21387.0,20031.0,13570.0,8801.0,22346.0,24182.0,24357.0,24498.0,23053.0,18176.0,24232.0,23294.0,22583.0,22116.0,21391.0,21072.0,15598.0,22674.0,22478.0,21417.0,15032.0,22718.0,21211.0,15672.0,10989.0,0.0,0.0,0.0,4.0,31.0,12.0
2022-01-01,7773.0,LA PARADA,C:\Users\adelgado\Documents\Personal\Universidad\Estrategia y Liderazgo en Datos\final\Trafico PMU\2022\ENERO 2022\Trafico Horario Sentido LA PARADA.xlsx,19851.0,22189.0,21920.0,21387.0,20031.0,13570.0,8801.0,22346.0,24182.0,24357.0,24498.0,23053.0,18176.0,24232.0,23294.0,22583.0,22116.0,21391.0,21072.0,15598.0,22674.0,22478.0,21417.0,15032.0,22718.0,21211.0,15672.0,10989.0,0.0,0.0,5.0,1.0,1.0
2022-01-02,10851.0,LA PARADA,C:\Users\adelgado\Documents\Personal\Universidad\Estrategia y Liderazgo en Datos\final\Trafico PMU\2022\ENERO 2022\Trafico Horario Sentido LA PARADA.xlsx,7773.0,19851.0,22189.0,21920.0,21387.0,20031.0,13570.0,8801.0,22346.0,24182.0,24357.0,24498.0,23053.0,18176.0,24232.0,23294.0,22583.0,22116.0,21391.0,21072.0,15598.0,22674.0,22478.0,21417.0,15032.0,22718.0,21211.0,15672.0,10989.0,0.0,6.0,2.0,1.0
2022-01-03,15899.0,LA PARADA,C:\Users\adelgado\Documents\Personal\Universidad\Estrategia y Liderazgo en Datos\final\Trafico PMU\2022\ENERO 2022\Trafico Horario Sentido LA PARADA.xlsx,10851.0,7773.0,19851.0,22189.0,21920.0,21387.0,20031.0,13570.0,8801.0,22346.0,24182.0,24357.0,24498.0,23053.0,18176.0,24232.0,23294.0,22583.0,22116.0,21391.0,21072.0,15598.0,22674.0,22478.0,21417.0,15032.0,22718.0,21211.0,15672.0,10989.0,0.0,3.0,1.0
2022-01-04,17127.0,LA PARADA,C:\Users\adelgado\Documents\Personal\Universidad\Estrategia y Liderazgo en Datos\final\Trafico PMU\2022\ENERO 2022\Trafico Horario Sentido LA PARADA.xlsx,15899.0,10851.0,7773.0,19851.0,22189.0,21920.0,21387.0,20031.0,13570.0,8801.0,22346.0,24182.0,24357.0,24498.0,23053.0,18176.0,24232.0,23294.0,22583.0,22116.0,21391.0,21072.0,15598.0,22674.0,22478.0,21417.0,15032.0,22718.0,21211.0,15672.0,1.0,4.0,1.0
2022-01-05,17180.0,LA PARADA,C:\Users\adelgado\Documents\Personal\Universidad\Estrategia y Liderazgo en Datos\final\Trafico PMU\2022\ENERO 2022\Trafico Horario Sentido LA PARADA.xlsx,17127.0,15899.0,10851.0,7773.0,19851.0,22189.0,21920.0,21387.0,20031.0,13570.0,8801.0,22346.0,24182.0,24357.0,24498.0,23053.0,18176.0,24232.0,23294.0,22583.0,22116.0,21391.0,21072.0,15598.0,22674.0,22478.0,21417.0,15032.0,22718.0,21211.0,2.0,5.0,1.0
2022-01-06,17079.0,LA PARADA,C:\Users\adelgado\Documents\Personal\Universidad\Estrategia y Liderazgo en Datos\final\Trafico PMU\2022\ENERO 2022\Trafico Horario Sentido LA PARADA.xlsx,17180.0,17127.0,15899.0,10851.0,7773.0,19851.0,22189.0,21920.0,21387.0,20031.0,13570.0,8801.0,22346.0,24182.0,24357.0,24498.0,23053.0,18176.0,24232.0,23294.0,22583.0,22116.0,21391.0,21072.0,15598.0,22674.0,22478.0,21417.0,15032.0,22718.0,3.0,6.0,1.0
2022-01-07,17687.0,LA PARADA,C:\Users\adelgado\Documents\Personal\Universidad\Estrategia y Liderazgo en Datos\final\Trafico PMU\2022\ENERO 2022\Trafico Horario Sentido LA PARADA.xlsx,17079.0,17180.0,17127.0,15899.0,10851.0,7773.0,19851.0,22189.0,21920.0,21387.0,20031.0,13570.0,8801.0,22346.0,24182.0,24357.0,24498.0,23053.0,18176.0,24232.0,23294.0,22583.0,22116.0,21391.0,21072.0,15598.0,22674.0,22478.0,21417.0,15032.0,4.0,7.0,1.0
2022-01-08,17112.0,LA PARADA,C:\Users\adelgado\Documents\Personal\Universidad\Estrategia y Liderazgo en Datos\final\Trafico PMU\2022\ENERO 2022\Trafico Horario Sentido LA PARADA.xlsx,17687.0,17079.0,17180.0,17127.0,15899.0,10851.0,7773.0,19851.0,22189.0,21920.0,21387.0,20031.0,13570.0,8801.0,22346.0,24182.0,24357.0,24498.0,23053.0,18176.0,24232.0,23294.0,22583.0,22116.0,21391.0,21072.0,15598.0,22674.0,22478.0,21417.0,5.0,8.0,1.0
2022-01-09,11161.0,LA PARADA,C:\Users\adelgado\Documents\Personal\Universidad\Estrategia y Liderazgo en Datos\final\Trafico PMU\2022\ENERO 2022\Trafico Horario Sentido LA PARADA.xlsx,17112.0,17687.0,17079.0,17180.0,17127.0,15899.0,10851.0,7773.0,19851.0,22189.0,21920.0,21387.0,20031.0,13570.0,8801.0,22346.0,24182.0,24357.0,24498.0,23053.0,18176.0,24232.0,23294.0,22583.0,22116.0,21391.0,21072.0,15598.0,22674.0,22478.0,6.0,9.0,1.0
