fecha,total,peaje,archivo,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,lag_30,dayofweek,day,month
2021-12-31,4294.0,PTO. TRIUNFO,C:\Users\adelgado\Documents\Personal\Universidad\Estrategia y Liderazgo en Datos\final\Trafico PMU\2021\Diciembre 2021\Trafico Horario Sentido PTO. TRIUNFO.xlsx,10310.0,9583.0,8018.0,7616.0,6933.0,3479.0,3217.0,7954.0,7660.0,6862.0,5911.0,5992.0,6099.0,6634.0,6136.0,5933.0,5820.0,5608.0,5850.0,5283.0,6244.0,5594.0,5260.0,4668.0,5474.0,5280.0,3069.0,0.0,0.0,0.0,4.0,31.0,12.0
2022-01-01,3936.0,PTO. TRIUNFO,C:\Users\adelgado\Documents\Personal\Universidad\Estrategia y Liderazgo en Datos\final\Trafico PMU\2022\ENERO 2022\Trafico Horario Sentido PTO. TRIUNFO.xlsx,4294.0,10310.0,9583.0,8018.0,7616.0,6933.0,3479.0,3217.0,7954.0,7660.0,6862.0,5911.0,5992.0,6099.0,6634.0,6136.0,5933.0,5820.0,5608.0,5850.0,5283.0,6244.0,5594.0,5260.0,4668.0,5474.0,5280.0,3069.0,0.0,0.0,5.0,1.0,1.0
2022-01-02,9367.0,PTO. TRIUNFO,C:\Users\adelgado\Documents\Personal\Universidad\Estrategia y Liderazgo en Datos\final\Trafico PMU\2022\ENERO 2022\Trafico Horario Sentido PTO. TRIUNFO.xlsx,3936.0,4294.0,10310.0,9583.0,8018.0,7616.0,6933.0,3479.0,3217.0,7954.0,7660.0,6862.0,5911.0,5992.0,6099.0,6634.0,6136.0,5933.0,5820.0,5608.0,5850.0,5283.0,6244.0,5594.0,5260.0,4668.0,5474.0,5280.0,3069.0,0.0,6.0,2.0,1.0
2022-01-03,9829.0,PTO. TRIUNFO,C:\Users\adelgado\Documents\Personal\Universidad\Estrategia y Liderazgo en Datos\final\Trafico PMU\2022\ENERO 2022\Trafico Horario Sentido PTO. TRIUNFO.xlsx,9367.0,3936.0,4294.0,10310.0,9583.0,8018.0,7616.0,6933.0,3479.0,3217.0,7954.0,7660.0,6862.0,5911.0,5992.0,6099.0,6634.0,6136.0,5933.0,5820.0,5608.0,5850.0,5283.0,6244.0,5594.0,5260.0,4668.0,5474.0,5280.0,3069.0,0.0,3.0,1.0
2022-01-04,9294.0,PTO. TRIUNFO,C:\Users\adelgado\Documents\Personal\Universidad\Estrategia y Liderazgo en Datos\final\Trafico PMU\2022\ENERO 2022\Trafico Horario Sentido PTO. TRIUNFO.xlsx,9829.0,9367.0,3936.0,4294.0,10310.0,9583.0,8018.0,7616.0,6933.0,3479.0,3217.0,7954.0,7660.0,6862.0,5911.0,5992.0,6099.0,6634.0,6136.0,5933.0,5820.0,5608.0,5850.0,5283.0,6244.0,5594.0,5260.0,4668.0,5474.0,5280.0,1.0,4.0,1.0
2022-01-05,9041.0,PTO. TRIUNFO,C:\Users\adelgado\Documents\Personal\Universidad\Estrategia y Liderazgo en Datos\final\Trafico PMU\2022\ENERO 2022\Trafico Horario Sentido PTO. TRIUNFO.xlsx,9294.0,9829.0,9367.0,3936.0,4294.0,10310.0,9583.0,8018.0,7616.0,6933.0,3479.0,3217.0,7954.0,7660.0,6862.0,5911.0,5992.0,6099.0,6634.0,6136.0,5933.0,5820.0,5608.0,5850.0,5283.0,6244.0,5594.0,5260.0,4668.0,5474.0,2.0,5.0,1.0
2022-01-06,8879.0,PTO. TRIUNFO,C:\Users\adelgado\Documents\Personal\Universidad\Estrategia y Liderazgo en Datos\final\Trafico PMU\2022\ENERO 2022\Trafico Horario Sentido PTO. TRIUNFO.xlsx,9041.0,9294.0,9829.0,9367.0,3936.0,4294.0,10310.0,9583.0,8018.0,7616.0,6933.0,3479.0,3217.0,7954.0,7660.0,6862.0,5911.0,5992.0,6099.0,6634.0,6136.0,5933.0,5820.0,5608.0,5850.0,5283.0,6244.0,5594.0,5260.0,4668.0,3.0,6.0,1.0
2022-01-07,8504.0,PTO. TRIUNFO,C:\Users\adelgado\Documents\Personal\Universidad\Estrategia y Liderazgo en Datos\final\Trafico PMU\2022\ENERO 2022\Trafico Horario Sentido PTO. TRIUNFO.xlsx,8879.0,9041.0,9294.0,9829.0,9367.0,3936.0,4294.0,10310.0,9583.0,8018.0,7616.0,6933.0,3479.0,3217.0,7954.0,7660.0,6862.0,5911.0,5992.0,6099.0,6634.0,6136.0,5933.0,5820.0,5608.0,5850.0,5283.0,6244.0,5594.0,5260.0,4.0,7.0,1.0
2022-01-08,8540.0,PTO. TRIUNFO,C:\Users\adelgado\Documents\Personal\Universidad\Estrategia y Liderazgo en Datos\final\Trafico PMU\2022\ENERO 2022\Trafico Horario Sentido PTO. TRIUNFO.xlsx,8504.0,8879.0,9041.0,9294.0,9829.0,9367.0,3936.0,4294.0,10310.0,9583.0,8018.0,7616.0,6933.0,3479.0,3217.0,7954.0,7660.0,6862.0,5911.0,5992.0,6099.0,6634.0,6136.0,5933.0,5820.0,5608.0,5850.0,5283.0,6244.0,5594.0,5.0,8.0,1.0
2022-01-09,8846.0,PTO. TRIUNFO,C:\Users\adelgado\Documents\Personal\Universidad\Estrategia y Liderazgo en Datos\final\Trafico PMU\2022\ENERO 2022\Trafico Horario Sentido PTO. TRIUNFO.xlsx,8540.0,8504.0,8879.0,9041.0,9294.0,9829.0,9367.0,3936.0,4294.0,10310.0,9583.0,8018.0,7616.0,6933.0,3479.0,3217.0,7954.0,7660.0,6862.0,5911.0,5992.0,6099.0,6634.0,6136.0,5933.0,5820.0,5608.0,5850.0,5283.0,6244.0,6.0,9.0,1.0
